UTC,downhole pressure [kPa],CO2 partial pressure [kPa],pH
05/13/2023 10:05:08.810,102.41,76.9908455639578,6.3064
05/13/2023 10:43:01.670,104.91,79.1263821038156,6.3127
05/13/2023 11:20:54.840,99.81,72.8288642513096,6.2945
05/13/2023 11:58:48.420,101.83,72.7420107448289,6.3003
05/13/2023 12:36:41.890,101.25,70.9593099755398,6.2644
05/13/2023 13:14:35.510,101.25,79.7818000638499,6.323
05/13/2023 13:52:30.200,102.89,79.1979607487028,6.3257
05/13/2023 14:30:24.630,104.24,71.9306691272859,6.3284
05/13/2023 15:08:18.500,98.46,76.4838694108784,6.3197
05/13/2023 15:46:13.550,100.1,79.4153719971996,6.2965
05/13/2023 16:24:09.500,97.78,77.8812881239649,6.3065
05/13/2023 17:02:04.680,102.41,74.2163049613975,6.324
05/13/2023 17:40:01.120,99.04,75.6057683056879,6.3147
05/13/2023 18:17:57.170,98.65,75.1267831890544,6.3191
05/13/2023 18:55:53.250,98.07,76.6384950494768,6.3273
05/13/2023 19:33:50.070,99.04,76.8854427929748,6.3337
05/13/2023 20:11:46.940,97.98,69.4896756189118,6.3205
05/13/2023 20:49:44.090,104.63,68.7275438794084,6.3161
