"              ELEM","                 X","                 Y","                 Z","              ROCK","            KABS_1","            KABS_2","            KABS_3","              PRES","             SAT_G","             SAT_L"
"                  ","               (M)","               (M)","               (M)","                  ","            (M**2)","            (M**2)","            (M**2)","              (PA)","               (-)","               (-)"
"TIME [sec]  0.17676752E+08"
"             A12 7",  0.20851900000E-001,  0.76902000000E-002,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050373257E+007,  0.00000000000E+000,  0.10000000000E+001
"             A12 8", -0.88740000000E-002, -0.20376000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050325377E+007,  0.00000000000E+000,  0.10000000000E+001
"             A12 9", -0.88740000000E-002,  0.20376600000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050330974E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1210", -0.93300000000E-003, -0.25247000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050347641E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1211", -0.93300000000E-003,  0.25247400000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050353850E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1212",  0.25380100000E-001, -0.11640000000E-004,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050386850E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1213", -0.93820000000E-003, -0.23244000000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050341479E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1214", -0.93820000000E-003,  0.23244500000E-001,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050347595E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1215",  0.23380100000E-001, -0.11640000000E-004,  0.15000000000E-002,                   5,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050381189E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1216",  0.12227800000E-001, -0.14060000000E-006,  0.15000000000E-002,                   4,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050265527E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1217",  0.10825400000E-001, -0.56930000000E-002,  0.15000000000E-002,                   4,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050261278E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1218",  0.10826800000E-001,  0.56932000000E-002,  0.15000000000E-002,                   4,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050264456E+007,  0.00000000000E+000,  0.10000000000E+001
"             A1219",  0.69425000000E-002, -0.10075000000E-001,  0.15000000000E-002,                   4,  0.10000000000E-019,  0.10000000000E-019,  0.30000000000E-019,  0.20050253022E+007,  0.00000000000E+000,  0.10000000000E+001
